CORNED BEEF LOAF,153,22.9,0.0,2.6
CORNSALAD,21,2.0,3.6,0.0
COTTONSEED FLR,359,49.83,40.54,1.588
COTTONSEED KRNLS,506,32.59,21.9,9.699
COTTONSEED MEAL,367,49.1,38.43,1.207
COWPEAS,343,23.85,60.03,0.605
COWPEAS (BLACKEYES),139,8.98,25.13,0.185
CRAB,155,23.72,15.0,1.483
CRABAPPLES,76,0.4,19.95,0.048
CRANBERRIES,308,0.39,82.36,0.103
CRANBERRY JUC COCKTAIL,201,0.05,51.45,0.009
CRANBERRY SAU,151,0.2,38.9,0.013
CRANBERRY-APPLE JUC DRK,63,0.0,15.85,0.013
CRANBERRY-APRICOT JUC DRK,64,0.2,16.2,0.0
CRANBERRY-GRAPE JUC DRK,56,0.2,14.0,0.033
CRANBERRY-ORANGE RELISH,178,0.3,46.2,0.012
CRAYFISH,87,17.52,0.0,0.216
CREAM,345,2.05,2.79,23.032
CRESS,32,2.6,5.5,0.023
CRLS,104,3.22,19.82,0.22
CROAKER,221,18.2,7.54,3.476
CUCUMBER,15,0.65,3.63,0.037
CURRANTS,283,4.08,74.08,0.034
CUSK,112,24.35,0.0,0.13
CUSTARD-APPLE,101,1.7,25.2,0.231
CUTTLEFISH,158,32.48,1.64,0.236
DAIRY DRK MIX,329,25.0,51.4,1.871
DANDELION GREENS,45,2.7,9.2,0.17
DANDELION GRNS,33,2.0,6.4,0.146
DATES,282,2.45,75.03,0.032
DESSERT TOPPING,318,1.25,23.05,21.783
DILL WEED,253,19.96,55.82,0.234
DOCK,22,2.0,3.2,0.0
DOLPHINFISH,109,23.72,0.0,0.241
DRINK MIX,388,0.0,95.3,0.0
DRUM,153,22.49,0.0,1.434
DUCK,404,29.1,3.53,13.22
DURIAN,147,1.47,27.09,0.0
DUTCH BRAND LOAF,273,12.0,3.93,9.043
EDAMAME,122,10.88,9.94,0.62
EEL,236,23.65,0.0,3.023
EGG,155,12.58,1.12,3.267
EGGNOG-FLAVOR MIX,95,2.93,14.2,1.701
EGGPLANT,35,1.01,8.73,0.044
ELDERBERRIES,73,0.66,18.4,0.023
EMU,168,33.67,0.0,1.242
ENDIVE,17,1.25,3.35,0.048
ENG DRK,5,0.25,0.7,0.0
ENGY DRK,45,0.25,10.94,0.0
ENSURE FIBER W/ FOS,97,3.43,16.36,0.201
EPAZOTE,32,0.33,7.44,0.0
EPPAW,150,4.6,31.68,0.0
FALAFEL,333,13.31,31.84,2.383
FAT,902,0.0,0.0,49.8
FEIJOA,49,1.24,10.63,0.0
FENNEL,31,1.24,7.29,0.0
FIDDLEHEAD FERNS,34,4.55,5.74,0.0
FIGS,249,3.3,63.87,0.144
FIREWEED,103,4.71,19.22,0.0
FISH,128,26.15,0.0,0.94
FISH OIL,902,0.0,0.0,95.6
FISH PORTIONS&STKS,249,11.04,21.18,2.758
FLATFISH (FLOUNDER&SOLE SP),117,24.16,0.0,0.363
FORMULATED,647,13.82,27.91,9.37
FRANKFURTER,269,15.51,11.21,8.719
FRIJOLES ROJOS VOLTEADOS (REFRIED BNS,144,5.0,15.47,0.926
FROG LEGS,73,16.4,0.0,0.076
FRUIT,243,2.46,64.06,0.04
FRUIT COCKTAIL,88,0.47,22.89,0.014
FRUIT PUNCH DRK,162,0.2,41.4,0.003
FRUIT PUNCH JUC DRK,175,0.3,43.1,0.087
FRUIT PUNCH-FLAVOR DRK,382,0.0,97.7,0.057
FRUIT SALAD,88,0.51,22.77,0.019
